City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,79.57,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Atuona,PF,79.09,scattered clouds,-9.8,-139.0333,Villa Enata
9,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
12,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
16,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
18,Carnarvon,AU,82.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
19,Mount Gambier,AU,85.91,scattered clouds,-37.8333,140.7667,The Commodore
27,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
41,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
44,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Rikitea,PF,79.57,overcast clouds,-23.1203,-134.9692,People ThankYou
50,Atuona,PF,79.09,scattered clouds,-9.8,-139.0333,Villa Enata
55,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
58,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
62,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
64,Carnarvon,AU,82.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
65,Mount Gambier,AU,85.91,scattered clouds,-37.8333,140.7667,The Commodore
73,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
87,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
90,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
93,Puerto Ayora,EC,75.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
94,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
95,Metro,ID,76.37,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
99,Ternate,ID,82.56,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
102,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
103,Arraial Do Cabo,BR,76.62,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
106,Mackay,AU,81.68,light rain,-21.15,149.2,International Lodge Motel
118,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
120,Neiafu,TO,78.67,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
132,Waingapu,ID,85.33,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
134,Sao Joao Da Barra,BR,77.04,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
138,Geraldton,AU,77.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
144,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
145,Hithadhoo,MV,81.64,clear sky,-0.6,73.0833,Scoop Guest House
151,Broken Hill,AU,78.51,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
152,Harper,LR,78.98,light rain,4.375,-7.7169,Screensaver
157,Kavieng,PG,83.89,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
164,Dingle,PH,81.64,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
167,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
169,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
183,Butaritari,KI,82.78,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
186,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
187,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
193,Gold Coast,AU,81.34,light intensity shower rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
196,Varkkallai,IN,78.58,broken clouds,8.7341,76.7067,Hindustan Beach Retreat
198,Port-Gentil,GA,78.89,few clouds,-0.7193,8.7815,Fengshui Residence
201,Carutapera,BR,75.49,overcast clouds,-1.195,-46.02,Lidera
204,Boueni,YT,82.38,broken clouds,-12.9025,45.0761,The feet in water
212,Ahuimanu,US,83.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
214,Kavaratti,IN,77.95,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
216,Vanimo,PG,85.48,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
218,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
236,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
243,Takoradi,GH,79.39,light rain,4.8845,-1.7554,Raybow International Hotel
244,Dhidhdhoo,MV,80.17,broken clouds,6.8833,73.1,Dhidhoo beach
248,Salinopolis,BR,77.67,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
257,Quatre Cocos,MU,79.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
261,Esperance,AU,85.84,clear sky,-33.8667,121.9,Hospitality Esperance
264,Cockburn Town,TC,75.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
267,Katubao,PH,85.98,overcast clouds,5.8892,124.8294,IML Ecopark
268,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
279,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
282,Guarapari,BR,76.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
290,Victor Harbor,AU,87.8,overcast clouds,-35.5667,138.6167,McCracken Country Club
292,Danlugan,PH,82.96,scattered clouds,7.8914,123.3728,Zamboanga Hermosa Hotel
295,Tanete,ID,79.65,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
301,Cayenne,GF,80.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
302,Manokwari,ID,83.16,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
308,Dalby,AU,75.9,few clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
311,Kampong Chhnang,KH,78.75,clear sky,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
314,Meulaboh,ID,78.76,overcast clouds,4.1363,96.1285,Kost Pria
315,Joinville,BR,81.1,clear sky,-26.3044,-48.8456,Mercure Joinville Prinz Hotel
322,Tual,ID,83.3,broken clouds,-5.6667,132.75,Grand Vilia Hotel
324,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
325,Pangkalanbuun,ID,86.02,light rain,-2.6833,111.6167,Grand Kecubung Hotel
327,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
329,Cartagena,CO,78.42,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
333,Kudahuvadhoo,MV,81.07,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
335,Grand-Lahou,CI,78.82,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
337,Gorontalo,ID,86.88,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
353,Santo Amaro Da Imperatriz,BR,79.09,overcast clouds,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
357,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
361,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
362,Fare,PF,81.12,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
364,Ahipara,NZ,75.24,light rain,-35.1667,173.1667,Ahipara Holiday Park
367,Pangai,TO,77.11,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
370,Sabang,ID,81.97,broken clouds,5.8933,95.3214,Hotel Citra
375,San Rafael Del Sur,NI,79.77,clear sky,11.8485,-86.4384,Hospedaje El Chino
409,Selaphum,TH,75.0,overcast clouds,16.0299,103.9383,ศิวิไลซ์โปรเจคท์
412,Yeppoon,AU,82.18,clear sky,-23.1333,150.7333,Villa Mar Colina
413,Port Keats,AU,79.7,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
418,Buala,SB,85.78,light rain,-8.145,159.5921,Maringe Lagoon Lodge
420,Bugko,PH,83.01,broken clouds,12.5356,124.7923,Sangkay Beach Resort
421,Itarema,BR,78.21,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
423,Port Lincoln,AU,78.89,clear sky,-34.7333,135.8667,Port Lincoln Hotel
426,Carupano,VE,75.43,clear sky,10.6678,-63.2585,Hotel La dorada
427,Codrington,AU,79.12,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
429,Katherine,AU,86.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
430,Tabou,CI,78.96,light rain,4.423,-7.3528,hotêl doufoulougou
435,Mitsamiouli,KM,81.73,overcast clouds,-11.3847,43.2844,Foyer ADM
436,Ballina,AU,75.38,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
443,Pontianak,ID,78.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
449,Mogadishu,SO,76.66,overcast clouds,2.0371,45.3438,Hotel Juba
451,Valdez,EC,77.23,light rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
453,Coruripe,BR,77.65,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
461,Muli,MV,81.43,few clouds,2.9167,73.5667,Medhufushi Island Resort
462,Nelson Bay,AU,77.29,broken clouds,-32.7167,152.15,Mantra Nelson Bay
483,Inhambane,MZ,76.68,light rain,-23.865,35.3833,Oceano
489,Contamana,PE,81.05,light rain,-7.3333,-75.0167,Shiringal Touristic Park
492,Namatanai,PG,86.34,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
494,Olinda,BR,82.13,clear sky,-8.0089,-34.8553,Hotel Albergue de Olinda
501,Loandjili,CG,77.31,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
504,Kirakira,SB,85.26,overcast clouds,-10.4544,161.9205,SanBiz Lodge
515,Gamboma,CG,76.24,overcast clouds,-1.8764,15.8644,Residence N'Keni
524,Bom Jesus,BR,76.28,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
525,Puerto Madero,MX,78.75,broken clouds,14.7208,-92.4215,Hospedaje madero
528,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
533,Koumac,NC,78.84,overcast clouds,-20.5667,164.2833,Le Monitel
538,Karratha,AU,91.02,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
554,Charters Towers,AU,84.67,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
560,Ocos,GT,81.32,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
571,Faanui,PF,80.87,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
574,Manggar,ID,81.37,overcast clouds,-2.8833,108.2667,Guest Hotel
579,Bubaque,GW,77.85,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
581,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
597,Mount Isa,AU,91.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
599,Buin,CL,77.74,clear sky,-33.7333,-70.75,Paihuen
607,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
608,Sorong,ID,84.65,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
613,Tautira,PF,86.02,moderate rain,-17.7333,-149.15,Pension Oaoa
619,Makasar,ID,84.25,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
631,Auki,SB,83.39,light rain,-8.7676,160.7034,Auki Motel
632,Morondava,MG,76.93,light rain,-20.2833,44.2833,La Case Bambou
650,Mayumba,GA,76.78,overcast clouds,-3.432,10.6554,LIKWALE LODGE
652,Mahibadhoo,MV,81.14,scattered clouds,3.7833,72.9667,Omadhoo Inn
658,Paranagua,BR,83.89,overcast clouds,-25.52,-48.5092,Hotel Camboa Paranaguá
661,Victoria Point,AU,82.18,scattered clouds,-27.5833,153.3,Bay Retreat Motel
666,Raymond Terrace,AU,77.29,few clouds,-32.75,151.75,Sleepy Hill Motor Inn
667,Honiara,SB,87.21,overcast clouds,-9.4333,159.95,Heritage Park Hotel
670,Iracoubo,GF,76.69,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
673,Antalaha,MG,76.28,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
684,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
685,Labuhan,ID,82.49,broken clouds,-6.8844,112.2051,DoubleFAG
687,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
700,Singleton,AU,76.78,scattered clouds,-32.5667,151.1833,Quest Singleton
704,Mamallapuram,IN,80.06,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
714,Kiunga,PG,91.18,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
717,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
718,Ugoofaaru,MV,81.03,overcast clouds,5.6667,73.0,Ungoofaaru Inn
719,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
723,Kanniyakumari,IN,77.81,broken clouds,8.0833,77.5667,Sparsa
724,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
734,Santiago De Cuba,CU,76.51,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
742,Mareeba,AU,84.67,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
751,Lorengau,PG,84.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
754,Morant Bay,JM,78.42,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
763,Gizo,SB,86.2,overcast clouds,-8.103,156.8419,Imagination Island
